representation,algo,params,n_clusters_found,n_noise,noise_frac,silhouette,davies_bouldin,ari,score
vae_mm_latents,dbscan,"eps=0.7,min=5",22,2598,0.8885088919288646,0.21245846152305603,1.093900026060602,0.0030907144152549663,-0.7140379428169012
vae_mm_latents,dbscan,"eps=0.7,min=8",5,2796,0.9562243502051984,0.43689388036727905,0.8239147858396099,0.0007753427633948561,-0.49209321420140684
vae_mm_latents,dbscan,"eps=0.8,min=3",51,1921,0.6569767441860465,-0.253139466047287,1.2075225397428389,0.021497252537788666,-0.9987281168069033
vae_mm_latents,dbscan,"eps=0.8,min=5",20,2207,0.7547879616963065,-0.0671728178858757,1.3066780422503446,0.012777436284989046,-0.9195613594080008
vae_mm_latents,dbscan,"eps=0.8,min=8",14,2495,0.8532831737346102,0.2085210680961609,1.1831383292176199,0.004527497145177911,-0.7062056395898734
vae_mm_latents,dbscan,"eps=0.9,min=3",38,1536,0.5253077975376197,-0.40378493070602417,1.2076385801407168,0.03472490771219745,-1.0308339770520658
vae_mm_latents,dbscan,"eps=0.9,min=5",17,1751,0.5988372093023255,-0.1918204426765442,1.208268638158628,0.029882363695932303,-0.882661574054198
vae_mm_latents,dbscan,"eps=0.9,min=8",9,2033,0.695280437756498,-0.1118435338139534,1.42946797607191,0.020491984776191425,-0.9334694944573423
vae_mm_latents,dbscan,"eps=1.0,min=3",30,1227,0.41963064295485636,-0.28329241275787354,1.148345319449708,0.042243163810203925,-0.8064228272014964
vae_mm_latents,dbscan,"eps=1.0,min=5",11,1410,0.48221614227086185,-0.13305895030498505,1.291460727844632,0.03996447732354622,-0.7371595323670548
vae_mm_latents,dbscan,"eps=1.0,min=8",6,1569,0.536593707250342,-0.1061648428440094,1.3871372679425453,0.03828937036426059,-0.7745778918685314
baseline_mel_flat,kmeans,k=4,4,0,0.0,-0.003355214139446616,5.467255699311557,0.03993874150921019,-1.0568676124925478
baseline_mel_flat,agglomerative,"k=4,ward",4,0,0.0,-0.04623694717884064,5.078858477506584,0.03291034469865074,-1.0290982979815066
baseline_mel_flat,kmeans,k=5,5,0,0.0,-0.005965872202068567,5.223404203631937,0.037340389387867,-1.013306323540589
baseline_mel_flat,agglomerative,"k=5,ward",5,0,0.0,-0.04662921652197838,4.941627068154772,0.03469480335279092,-1.000259826800142
baseline_mel_flat,kmeans,k=6,6,0,0.0,-0.00966991949826479,5.081461787888867,0.049838827418526715,-0.9761234496575114
baseline_mel_flat,agglomerative,"k=6,ward",6,0,0.0,-0.04273420199751854,5.35779538001968,0.0350206825424297,-1.0792725954590248
baseline_mel_flat,kmeans,k=7,7,0,0.0,-0.015293186530470848,4.9275219409075826,0.05109240650170125,-0.9497051682102862
baseline_mel_flat,agglomerative,"k=7,ward",7,0,0.0,-0.039597973227500916,5.337309526085219,0.0367518837970949,-1.07030799464745
baseline_mel_flat,kmeans,k=8,8,0,0.0,-0.017778396606445312,5.033756808884992,0.05135738744742287,-0.9731723709360209
baseline_mel_flat,agglomerative,"k=8,ward",8,0,0.0,-0.040624525398015976,6.112228298600476,0.03950597207236204,-1.2235642130457491
baseline_mel_flat,dbscan,"eps=0.3,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.3,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.3,min=8",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.4,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.4,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.4,min=8",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.5,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.5,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.5,min=8",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.6,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.6,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.6,min=8",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.7,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.7,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.7,min=8",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.8,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.8,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.8,min=8",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.9,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.9,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=0.9,min=8",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=1.0,min=3",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=1.0,min=5",0,2924,1.0,,,0.0,-3.8
baseline_mel_flat,dbscan,"eps=1.0,min=8",0,2924,1.0,,,0.0,-3.8
baseline_lyrics_only,kmeans,k=4,4,0,0.0,0.03579999506473541,4.140619092035602,0.03589832678227542,-0.7564254965601096
baseline_lyrics_only,agglomerative,"k=4,ward",4,0,0.0,0.02353939786553383,4.2853875232132355,0.03315335906941849,-0.8003847477076947
baseline_lyrics_only,kmeans,k=5,5,0,0.0,0.02931000106036663,4.213554044689698,0.06631056509466193,-0.7470902427829111
baseline_lyrics_only,agglomerative,"k=5,ward",5,0,0.0,0.0242839977145195,4.197883825626614,0.031958372343334304,-0.783334395067469
baseline_lyrics_only,kmeans,k=6,6,0,0.0,0.029668329283595085,4.769408348458179,0.06133342997517074,-0.86287991043287
baseline_lyrics_only,agglomerative,"k=6,ward",6,0,0.0,0.02316533960402012,3.921171866057801,0.03153352594794354,-0.7295355076595966
baseline_lyrics_only,kmeans,k=7,7,0,0.0,0.030646558851003647,4.7097830691336515,0.06796913106858046,-0.8433409239071462
baseline_lyrics_only,agglomerative,"k=7,ward",7,0,0.0,0.02411578595638275,5.104042526671265,0.0423118580256519,-0.9543808613522184
baseline_lyrics_only,kmeans,k=8,8,0,0.0,0.030813051387667656,4.39704615967116,0.06651332150622394,-0.7820828590403406
baseline_lyrics_only,agglomerative,"k=8,ward",8,0,0.0,0.014989648014307022,5.016560900911982,0.04944474277461225,-0.938877789393477
baseline_lyrics_only,dbscan,"eps=0.3,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=0.3,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.3,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.4,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=0.4,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.4,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.5,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=0.5,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.5,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.6,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=0.6,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.6,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.7,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=0.7,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.7,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.8,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=0.8,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.8,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.9,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=0.9,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=0.9,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=1.0,min=3",3,1690,0.9751875360646278,0.9999998211860657,4.0261762247635957e-07,0.0019666316986198286,0.22181634350945867
baseline_lyrics_only,dbscan,"eps=1.0,min=5",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
baseline_lyrics_only,dbscan,"eps=1.0,min=8",2,1693,0.9769186381996537,0.9999998211860657,4.6935746910460835e-07,0.0021119350644123415,0.22057675181926106
